Date,close,YLD_CNV_LAST
2018-03-15,96.737,7.172
2018-03-16,97.256,7.123
2018-03-19,95.621,7.277
2018-03-20,95.197,7.318
2018-03-21,96.118,7.23
2018-03-22,95.782,7.262
2018-03-23,95.571,7.282
2018-03-26,95.695,7.27
2018-03-27,97.401,7.11
2018-03-28,96.996,7.148
2018-03-29,98.436,7.015
2018-04-02,98.397,7.018
2018-04-03,98.72,6.989
2018-04-04,98.804,6.981
2018-04-05,99.365,6.931
2018-04-06,99.558,6.913
2018-04-09,99.387,6.929
2018-04-10,99.667,6.904
2018-04-11,99.365,6.931
2018-04-12,99.421,6.926
2018-04-13,99.373,6.93
2018-04-16,99.031,6.961
2018-04-17,99.18,6.947
2018-04-18,99.264,6.94
2018-04-19,98.54,7.005
2018-04-20,97.914,7.063
2018-04-23,97.977,7.057
2018-04-24,97.761,7.077
2018-04-25,96.836,7.163
2018-04-26,97.395,7.111
2018-04-27,96.468,7.198
2018-04-30,96.159,7.227
2018-05-01,95.57,7.283
2018-05-02,94.59,7.377
2018-05-03,93.999,7.435
2018-05-04,94.816,7.355
2018-05-07,94.801,7.357
2018-05-08,93.226,7.511
2018-05-09,94.195,7.416
2018-05-10,96.485,7.196
2018-05-11,96.893,7.158
2018-05-14,96.81,7.166
2018-05-15,95.234,7.315
2018-05-16,95.577,7.283
2018-05-17,94.905,7.347
2018-05-18,93.294,7.505
2018-05-21,95.269,7.312
2018-05-22,95.689,7.272
2018-05-23,97.077,7.141
2018-05-24,95.104,7.328
2018-05-25,94.968,7.342
2018-05-29,93.147,7.52
2018-05-30,93.005,7.534
2018-05-31,92.451,7.59
2018-06-01,89.768,7.866
2018-06-04,90.232,7.817
2018-06-05,91.313,7.705
2018-06-06,90.135,7.827
2018-06-07,88.024,8.052
2018-06-08,89.405,7.904
2018-06-11,88.344,8.018
2018-06-12,87.729,8.084
2018-06-13,88.774,7.972
2018-06-14,88.616,7.989
2018-06-15,88.967,7.952
2018-06-18,88.625,7.988
2018-06-19,88.328,8.02
2018-06-20,89.148,7.933
2018-06-21,90.254,7.816
2018-06-22,91.488,7.689
2018-06-25,90.864,7.753
2018-06-26,90.828,7.757
2018-06-27,90.602,7.78
2018-06-28,90.265,7.816
2018-06-29,90.279,7.814
2018-07-02,90.278,7.814
2018-07-03,91.596,7.679
2018-07-05,91.886,7.649
2018-07-06,93.581,7.479
2018-07-09,92.941,7.543
2018-07-10,93.721,7.465
2018-07-11,93.03,7.534
2018-07-12,93.729,7.465
2018-07-13,94.335,7.406
2018-07-16,94.143,7.424
2018-07-17,94.235,7.415
2018-07-18,94.092,7.429
2018-07-19,94.025,7.436
2018-07-20,95.458,7.297
2018-07-23,95.26,7.316
2018-07-24,95.302,7.312
2018-07-25,95.682,7.275
2018-07-26,96.151,7.23
2018-07-27,96.651,7.183
2018-07-30,96.604,7.187
2018-07-31,96.493,7.198
2018-08-01,95.152,7.326
2018-08-02,95.219,7.32
